order_id	quantity	item_name	choice_description	item_price
150	1	Chips and Tomatillo-Red Chili Salsa	NULL	$2.39
150	2	Canned Soda	[Diet Coke]	$2.18
151	1	Chicken Burrito	[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Cheese]]	$8.49
151	2	Canned Soda	[Coca Cola]	$2.18
152	2	Steak Burrito	[Fresh Tomato (Mild), [Lettuce, Guacamole, Rice, Cheese]]	$22.16
153	2	Chicken Soft Tacos	[Fresh Tomato Salsa, Sour Cream]	$17.50
154	1	Chicken Burrito	[Tomatillo Green Chili Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Lettuce]]	$8.75
154	1	Chips and Tomatillo Red Chili Salsa	NULL	$2.95
154	1	6 Pack Soft Drink	[Coke]	$6.49
155	1	Steak Burrito	[Fresh Tomato Salsa (Mild), [Pinto Beans, Cheese, Sour Cream]]	$8.99
155	1	Izze	[Blackberry]	$3.39
155	1	Izze	[Grapefruit]	$3.39
156	1	Steak Burrito	[Fresh Tomato Salsa (Mild), [Cheese, Sour Cream, Lettuce]]	$8.99
156	1	Chicken Burrito	[Fresh Tomato Salsa (Mild), [Pinto Beans, Cheese, Sour Cream, Lettuce]]	$8.49
157	1	Chicken Burrito	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.25
157	1	Chips	NULL	$2.15
158	1	Chicken Crispy Tacos	[Tomatillo Green Chili Salsa, [Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.25
158	1	Chips and Tomatillo Green Chili Salsa	NULL	$2.95
159	1	Chicken Burrito	[Roasted Chili Corn Salsa, [Rice, Fajita Vegetables, Black Beans, Cheese, Lettuce, Guacamole]]	$11.25
159	1	Canned Soft Drink	[Diet Coke]	$1.25
160	1	Steak Burrito	[Roasted Chili Corn Salsa (Medium), [Black Beans, Cheese, Sour Cream, Lettuce]]	$8.99
160	1	Canned Soda	[Diet Coke]	$1.09
161	1	Chicken Bowl	[Fresh Tomato Salsa, [Rice, Cheese, Sour Cream]]	$8.75
161	1	Chicken Burrito	[Fresh Tomato Salsa, [Rice, Cheese, Sour Cream]]	$8.75
162	1	Carnitas Burrito	[Fresh Tomato Salsa, [Rice, Pinto Beans, Sour Cream, Cheese]]	$9.25
162	1	Chips and Fresh Tomato Salsa	NULL	$2.95
163	1	Barbacoa Burrito	[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Lettuce, Guacamole]]	$11.75
163	1	Bottled Water	NULL	$1.50
164	1	Steak Burrito	[Roasted Chili Corn Salsa (Medium), [Rice, Black Beans, Sour Cream]]	$8.99
164	1	Canned Soda	[Mountain Dew]	$1.09
165	1	Chicken Bowl	[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole]]	$11.25
165	1	Canned Soft Drink	[Coke]	$1.25
165	1	Canned Soft Drink	[Coke]	$1.25
166	1	Chicken Burrito	[Fresh Tomato Salsa, [Rice, Black Beans, Sour Cream, Cheese, Guacamole]]	$11.25
166	1	Steak Burrito	[Tomatillo Red Chili Salsa, [Rice, Fajita Vegetables, Sour Cream, Cheese, Lettuce, Guacamole]]	$11.75
166	1	Chips	NULL	$2.15
167	1	Barbacoa Burrito	[Tomatillo-Red Chili Salsa (Hot), [Rice, Cheese, Sour Cream, Lettuce]]	$8.99
167	1	Side of Chips	NULL	$1.69
168	1	Steak Bowl	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.75
168	1	6 Pack Soft Drink	[Diet Coke]	$6.49
169	1	Chicken Burrito	[Fresh Tomato Salsa, [Cheese, Sour Cream]]	$8.75
169	1	Steak Soft Tacos	[Fresh Tomato Salsa, [Cheese, Sour Cream]]	$9.25
170	1	Chicken Burrito	[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Pinto Beans, Cheese, Guacamole, Lettuce]]	$11.25
170	1	Chips and Guacamole	NULL	$4.45
170	1	Canned Soft Drink	[Coke]	$1.25
171	1	Veggie Burrito	[Tomatillo Green Chili Salsa, Guacamole]	$11.25
171	1	Chips and Guacamole	NULL	$4.45
172	1	Chicken Burrito	[Roasted Chili Corn Salsa (Medium), [Pinto Beans, Rice, Cheese, Sour Cream, Lettuce]]	$8.49
172	1	Barbacoa Burrito	[Tomatillo-Red Chili Salsa (Hot), [Pinto Beans, Rice, Cheese, Sour Cream, Lettuce]]	$8.99
173	1	Chicken Burrito	[Roasted Chili Corn Salsa (Medium), [Rice, Fajita Veggies, Cheese]]	$8.49
173	1	Carnitas Bowl	[[Fresh Tomato Salsa (Mild), Roasted Chili Corn Salsa (Medium)], [Rice, Cheese, Lettuce]]	$8.99
174	1	Chicken Burrito	[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Lettuce, Guacamole]]	$11.25
174	1	Canned Soft Drink	[Sprite]	$1.25
175	1	Steak Burrito	[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole]]	$11.75
175	1	Canned Soft Drink	[Coke]	$1.25
176	1	Steak Burrito	[Fresh Tomato Salsa, [Rice, Pinto Beans, Cheese, Guacamole, Lettuce]]	$11.75
176	1	Carnitas Soft Tacos	[Fresh Tomato Salsa, [Cheese, Lettuce]]	$9.25
176	1	Chips and Guacamole	NULL	$4.45
177	1	Chicken Bowl	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.25
177	1	Chips	NULL	$2.15
178	3	Chicken Bowl	[[Fresh Tomato Salsa (Mild), Tomatillo-Green Chili Salsa (Medium), Roasted Chili Corn Salsa (Medium)], [Black Beans, Rice, Fajita Veggies, Cheese, Guacamole, Lettuce]]	$32.94
179	1	Canned Soft Drink	[Coke]	$1.25
179	1	Chicken Bowl	[Tomatillo Green Chili Salsa, [Sour Cream, Cheese, Guacamole]]	$11.25
180	1	Steak Bowl	[Tomatillo-Red Chili Salsa (Hot), [Rice, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.48
180	1	Side of Chips	NULL	$1.69
180	1	Canned Soda	[Dr. Pepper]	$1.09
181	2	Chicken Bowl	[Tomatillo Red Chili Salsa]	$17.50
182	1	Chips and Guacamole	NULL	$4.45
182	1	6 Pack Soft Drink	[Diet Coke]	$6.49
182	1	Barbacoa Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese]]	$9.25
183	1	Chicken Soft Tacos	[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Lettuce]]	$8.75
183	1	Steak Burrito	[Tomatillo Green Chili Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Lettuce]]	$9.25
184	1	Carnitas Burrito	[Fresh Tomato Salsa, [Rice, Cheese, Sour Cream, Lettuce]]	$9.25
184	1	Chicken Bowl	[Roasted Chili Corn Salsa, [Rice, Lettuce]]	$8.75
184	1	Chicken Burrito	[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]	$8.75
184	1	Chips	NULL	$2.15
184	1	Chips and Fresh Tomato Salsa	NULL	$2.95
185	2	Chicken Soft Tacos	[Fresh Tomato Salsa, [Sour Cream, Lettuce]]	$17.50
186	1	Chicken Soft Tacos	[[Tomatillo-Red Chili Salsa (Hot), Roasted Chili Corn Salsa (Medium)], [Guacamole, Cheese, Sour Cream]]	$10.98
186	1	Steak Bowl	[[Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Rice, Cheese, Sour Cream, Guacamole]]	$11.48
186	1	Barbacoa Crispy Tacos	[[Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Cheese, Sour Cream, Guacamole]]	$11.48
186	1	Izze	[Grapefruit]	$3.39
187	1	Steak Burrito	[Tomatillo-Red Chili Salsa (Hot), [Rice, Cheese, Sour Cream, Lettuce]]	$8.99
187	1	Side of Chips	NULL	$1.69
188	1	Carnitas Bowl	[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]	$8.99
188	1	Canned Soda	[Coca Cola]	$1.09
189	1	Veggie Burrito	[[Roasted Chili Corn Salsa (Medium), Fresh Tomato Salsa (Mild)], [Rice, Black Beans, Pinto Beans, Fajita Veggies, Guacamole, Lettuce]]	$10.98
189	1	Nantucket Nectar	[Pomegranate Cherry]	$3.39
190	1	Steak Crispy Tacos	[[Roasted Chili Corn Salsa (Medium), Tomatillo-Green Chili Salsa (Medium)], [Rice, Black Beans, Cheese, Sour Cream]]	$8.99
190	1	Canned Soda	[Dr. Pepper]	$1.09
191	1	Steak Burrito	[Tomatillo Green Chili Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Lettuce]]	$9.25
191	1	Chicken Soft Tacos	[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Lettuce]]	$8.75
192	1	Chicken Burrito	[Roasted Chili Corn Salsa, [Rice, Fajita Vegetables, Black Beans, Sour Cream, Cheese, Lettuce, Guacamole]]	$11.25
192	1	Chips and Guacamole	NULL	$4.45
192	1	Chips and Tomatillo Red Chili Salsa	NULL	$2.95
192	1	Steak Bowl	[Tomatillo Red Chili Salsa, [Rice, Pinto Beans, Cheese]]	$9.25
193	3	Bowl	[Braised Carnitas, Pinto Beans, [Sour Cream, Cheese, Cilantro-Lime Rice]]	$22.20
194	1	Chicken Burrito	[Roasted Chili Corn Salsa (Medium), [Rice, Fajita Veggies, Cheese]]	$8.49
194	1	Steak Burrito	[Fresh Tomato Salsa (Mild), [Black Beans, Rice, Cheese, Sour Cream, Lettuce]]	$8.99
195	1	Chicken Burrito	[Fresh Tomato Salsa, [Rice, Cheese, Sour Cream, Lettuce]]	$8.75
195	1	Chicken Bowl	[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Lettuce]]	$8.75
195	1	Barbacoa Burrito	[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.75
195	1	Chicken Burrito	[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream]]	$8.75
195	1	Chicken Burrito	[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.25
195	1	Carnitas Soft Tacos	[Fresh Tomato Salsa, [Sour Cream, Lettuce]]	$9.25
195	1	Chicken Bowl	[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.25
195	1	Veggie Salad Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce]]	$11.25
196	1	Chicken Bowl	[Fresh Tomato Salsa, [Rice, Black Beans, Cheese]]	$8.75
196	1	Chicken Burrito	[Fresh Tomato Salsa, [Black Beans, Cheese, Guacamole, Lettuce]]	$11.25
196	1	Chips and Fresh Tomato Salsa	NULL	$2.95
196	1	Canned Soft Drink	[Coke]	$1.25
197	1	Chicken Bowl	[Fresh Tomato Salsa (Mild), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]	$8.49
197	1	Side of Chips	NULL	$1.69
198	1	Carnitas Burrito	[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.75
198	1	Chicken Burrito	[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.25
199	1	Chicken Bowl	[Tomatillo Green Chili Salsa, [Rice, Black Beans, Cheese]]	$8.75
199	1	Chicken Bowl	[Roasted Chili Corn Salsa, [Rice, Fajita Vegetables, Black Beans, Sour Cream, Cheese, Lettuce]]	$8.75
199	1	Chips and Guacamole	NULL	$4.45
200	1	Veggie Burrito	[Fresh Tomato Salsa (Mild), [Pinto Beans, Rice, Cheese, Sour Cream]]	$8.49
200	1	Chips and Guacamole	NULL	$3.99
201	1	Veggie Burrito	[Fresh Tomato Salsa (Mild), [Pinto Beans, Rice, Sour Cream, Cheese]]	$8.49
201	1	Chips and Guacamole	NULL	$3.99
202	1	Barbacoa Bowl	[[Tomatillo-Green Chili Salsa (Medium), Roasted Chili Corn Salsa (Medium)], [Black Beans, Rice, Cheese, Guacamole]]	$11.48
202	1	Side of Chips	NULL	$1.69
202	1	Canned Soda	[Diet Dr. Pepper]	$1.09
203	1	Chicken Soft Tacos	[Roasted Chili Corn Salsa, [Rice, Cheese, Lettuce, Guacamole]]	$11.25
203	1	Bottled Water	NULL	$1.50
204	1	Chicken Burrito	[Fresh Tomato (Mild), [Guacamole, Lettuce, Rice, Fajita Veggies, Sour Cream, Cheese]]	$10.58
204	1	Side of Chips	NULL	$1.69
205	1	Carnitas Burrito	[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Lettuce]]	$9.25
205	1	Veggie Burrito	[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.25
205	1	Chicken Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese]]	$8.75
205	1	Steak Burrito	[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]	$9.25
205	1	Chicken Burrito	[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.25
205	1	Chicken Bowl	[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$11.25
205	1	Chicken Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese]]	$8.75
205	1	Barbacoa Crispy Tacos	[Fresh Tomato Salsa, Guacamole]	$11.75
205	1	Chicken Burrito	[Fresh Tomato Salsa, Cheese]	$8.75
205	1	Chicken Burrito	[Fresh Tomato Salsa, [Rice, Cheese, Lettuce]]	$8.75
205	1	Chicken Bowl	[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]	$8.75
205	1	Chips	NULL	$2.15
206	1	Chicken Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole]]	$11.25
206	1	Steak Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole]]	$11.75
206	2	Canned Soft Drink	[Diet Coke]	$2.50
206	1	Chips and Guacamole	NULL	$4.45
207	1	Steak Soft Tacos	[Fresh Tomato Salsa, [Sour Cream, Cheese]]	$9.25
207	1	Chips and Guacamole	NULL	$4.45
207	1	Veggie Salad Bowl	[Fresh Tomato Salsa, [Rice, Lettuce, Guacamole, Fajita Vegetables, Cheese, Sour Cream, Black Beans]]	$11.25
208	1	Veggie Burrito	[Fresh Tomato Salsa (Mild), [Pinto Beans, Cheese]]	$8.49
208	1	Chips and Guacamole	NULL	$3.99
209	1	Steak Bowl	[Tomatillo Green Chili Salsa, [Fajita Vegetables, Rice, Lettuce]]	$9.25
209	1	Steak Bowl	[Fresh Tomato Salsa, [Rice, Cheese, Sour Cream]]	$9.25
210	1	Chicken Bowl	[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Guacamole]]	$11.25
210	1	Barbacoa Burrito	[Tomatillo Green Chili Salsa, [Rice, Black Beans, Cheese, Lettuce]]	$9.25
211	1	Steak Burrito	[Roasted Chili Corn Salsa, [Rice, Black Beans, Sour Cream, Lettuce, Guacamole]]	$11.75
211	1	Chicken Soft Tacos	[Roasted Chili Corn Salsa, [Rice, Cheese, Lettuce, Guacamole]]	$11.25
212	1	Canned Soft Drink	[Lemonade]	$1.25
212	2	Carnitas Bowl	[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]	$23.50
212	1	Canned Soft Drink	[Coke]	$1.25
213	1	Steak Burrito	[Tomatillo-Red Chili Salsa (Hot), Rice]	$8.99
213	1	Chicken Bowl	[Tomatillo-Red Chili Salsa (Hot), Rice]	$8.49
214	1	Burrito	[Adobo-Marinated and Grilled Chicken, Pinto Beans, [Sour Cream, Salsa, Cheese, Cilantro-Lime Rice, Guacamole]]	$7.40
214	1	Burrito	[Braised Barbacoa, Vegetarian Black Beans, [Sour Cream, Salsa, Cheese, Cilantro-Lime Rice]]	$7.40
215	1	Veggie Bowl	[Roasted Chili Corn Salsa, [Rice, Black Beans, Sour Cream, Lettuce]]	$8.75
215	1	Canned Soft Drink	[Diet Coke]	$1.25
215	1	Chips and Guacamole	NULL	$4.45
215	1	Veggie Bowl	[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Lettuce]]	$8.75
215	1	Chips	NULL	$2.15
216	1	Chicken Burrito	[Tomatillo Green Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream]]	$8.75
216	1	Chips and Guacamole	NULL	$4.45
217	1	Burrito	[Braised Barbacoa, Pinto Beans, [Sour Cream, Salsa, Cheese, Cilantro-Lime Rice, Guacamole]]	$7.40
217	1	Crispy Tacos	[Adobo-Marinated and Grilled Steak]	$7.40
217	1	Crispy Tacos	[Adobo-Marinated and Grilled Chicken]	$7.40
218	1	Steak Burrito	[Fresh Tomato Salsa (Mild), [Pinto Beans, Rice, Sour Cream]]	$8.99
218	1	Chips and Guacamole	NULL	$3.99
219	1	Steak Bowl	[Tomatillo-Red Chili Salsa (Hot), [Pinto Beans, Rice, Cheese, Sour Cream, Lettuce]]	$8.99
219	1	Side of Chips	NULL	$1.69
220	1	Chicken Salad Bowl	[Roasted Chili Corn Salsa, [Black Beans, Sour Cream, Cheese, Lettuce]]	$8.75
220	1	Chicken Bowl	[Fresh Tomato Salsa, [Rice, Black Beans, Sour Cream, Cheese]]	$8.75
